Rho/F:Pi/F:SinX/F:Xsec/F:percentError/F
168 101 0.3333  5.6116e-02  1.863
180	110	0.3333	2.3591e-01	1.973	
200	125	0.3333	3.7563e-01	2.192	
230	140	0.3333	2.2556e-01	2.192	
#240	150	0.3333	2.1094e-01	2.192	
300	200	0.3333	9.5105e-02	2.192	
400	275	0.3333	2.9199e-02	2.412	
500	350	0.3333	1.2187e-02	2.632	
600	425	0.3333	5.9737e-03	2.851	
700	500	0.3333	3.1753e-03	3.070	
800	575	0.3333	1.8064e-03	3.259	
900	650	0.3333	1.0903e-03	3.448	
1000	725	0.3333	6.7611e-04	3.609	
1100	800	0.3333	4.2896e-04	3.771	
1200	875	0.3333	2.7794e-04	3.936	
1300	950	0.3333	1.8408e-04	4.101	
1400	1025	0.3333	1.2258e-04	4.220	
1500	1100	0.3333	8.2168e-05	4.339	
1600	1175	0.3333	5.6161e-05	4.460	
1700	1250	0.3333	3.8328e-05	4.581	
1800	1325	0.3333	2.6358e-05	4.713	
1900	1400	0.3333	1.8227e-05	4.846	
2000	1475	0.3333	1.2672e-05	4.981	
